id_componente,nivel,tipo_componente,codigo,nome,departamento,codigo_antigo,ch_total,cr_total,ch_aula,ch_laboratorio,ch_estagio,ch_dedicada_docente,ch_ead,equivalencia,pre_requisito,co_requisito,ementa,bibliografia,curso,ativo,num_unidades,tem_orientador,aceita_subturma,permite_horario_flexivel,permite_horario_docente_flexivel,conteudo_variavel,eminentemente_pratica
"35898","M","DISCIPLINA","TE23251","OFICINA DE XILOGRAVURA: TEORIA E PRÁTICA","CODAP",,"45","3","25","20","0","45","0",,,,"Introdução teórico-prática à arte da xilogravura, com abordagem histórica, estética e técnica. Estudo dos materiais, ferramentas e processos de gravação em matriz de madeira, entintagem e impressão manual. Desenvolvimento de exercícios de criação visual, explorando composições autorais, narrativas gráficas e a tradição da gravura popular brasileira. Proposição de experimentações coletivas e individuais que favoreçam a expressão artística, a sensibilidade plástica e a valorização da cultura visual.",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"33554","M","DISCIPLINA","TE2401","TÓPICO ESPECIAL 1 (LABORATÓRIO DE AQUARELA / SERGIPANIDADES / GEOMETRIA PLANA)","CODAP",,"90","6","90","0","0","90","0",,,,"TÓPICO ESPECIAL 1",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"33555","M","DISCIPLINA","TE2402","TÓPICO ESPECIAL 2 (ESCREVIVÊNCIAS NA/DA ADOLESCÊNCIA / TÓPICOS EM GEOGRAFIA FÍSICA / TÓPICOS ESPECIAIS EM FÍSICA - O MOVIMENTO DOS CORPOS)","CODAP",,"90","6","90","0","0","90","0",,,,"TÓPICO ESPECIAL 2",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"33556","M","DISCIPLINA","TE2403","TÓPICO ESPECIAL 3 (CRIAÇÃO LITERÁRIA / IMPACTOS SOCIOAMBIENTAIS NA GRANDE ARACAJU / CONSERVAÇÃO AMBIENTAL EM SERGIPE ATRAVÉS DE IMAGENS)","CODAP",,"90","6","90","0","0","90","0",,,,"TÓPICO ESPECIAL 3",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"33557","M","DISCIPLINA","TE2404","TÓPICO ESPECIAL 4 (O MODERNISMO E SEUS DESDOBRAMENTOS / FUNDAMENTOS DE METODOLOGIA CIENTÍFICA / T. E. EM BIOQUÍMICA: ÁGUA, SAÚDE E QUALIDADE DE VIDA)","CODAP",,"90","6","90","0","0","90","0",,,,"TÓPICO ESPECIAL 4",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"33558","M","DISCIPLINA","TE2405","TÓPICO ESPECIAL 5 (GEOMETRIA ESPACIAL / TÓPICOS EM GEOGRAFIA FÍSICA / OFICINA DE ESCRITA CRIATIVA)","CODAP",,"90","6","90","0","0","90","0",,,,"TÓPICO ESPECIAL 5",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"33559","M","DISCIPLINA","TE2406","TÓPICO ESPECIAL 6 (ELETROMAGNETISMO: CONCEITOS, APLICAÇÕES E TECNOLOGIAS / SERGIPANIDADES / ESCREVIVÊNCIAS NA/DA ADOLESCÊNCIA)","CODAP",,"90","6","90","0","0","90","0",,,,"TÓPICO ESPECIAL 6",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"33560","M","DISCIPLINA","TE2407","TÓPICO ESPECIAL 7 (DESVENDANDO A SAÚDE E O BEM-ESTAR NA ADOLESC / IMPACTOS SOCIOAMBIENTAIS NA GRANDE AJU / JOGOS CULTURAIS: UMA ABORDAGEM BILING.","CODAP",,"90","6","90","0","0","90","0",,,,"TÓPICO ESPECIAL 7",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"33561","M","DISCIPLINA","TE2408","TÓPICO ESPECIAL 8 (TÓPICOS ESPECIAIS EM PROJETOS DE EDUCAÇÃO AMBIENTAL / TEMAS CONTEPORÂNEOS/ LITERATURA BRASILEIRA CONTEMPORÂNEA: DIÁLOGOS POSSÍVEIS","CODAP",,"90","6","90","0","0","90","0",,,,"TÓPICO ESPECIAL 8",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"35899","M","DISCIPLINA","TE24251","SERGIPANIDADE","CODAP",,"45","3","25","20","0","45","0",,,,"Estudo da identidade cultural, histórica, social e artística de Sergipe, valorizando suas tradições, manifestações populares e patrimônio material e imaterial. Reflexão sobre processos de formação da sergipanidade, a partir da literatura, música, artes visuais, culinária, religiosidade, festas populares e movimentos sociais. Discussão sobre memória, território e pertencimento, estimulando a produção de atividades pedagógicas e criativas que fortaleçam a valorização da cultura local e a cidadania cultural.",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
